side,charge,pt,phi,eta,momentum_scale
0,-1,0.25,2.4870941840919194,0.4,1.0131952
0,-1,0.25,2.4870941840919194,0.6,1.0099053
0,-1,0.25,2.4870941840919194,0.7999999999999999,1.0075912
0,-1,0.25,2.4870941840919194,1.0,1.0060005
0,-1,0.25,2.7488935718910685,-1.0,0.98174065
0,-1,0.25,2.7488935718910685,-0.8,1.0028017
0,-1,0.25,2.7488935718910685,-0.6000000000000001,1.0131694
0,-1,0.25,2.7488935718910685,-0.4,1.0159305
0,-1,0.25,2.7488935718910685,-0.20000000000000007,1.0164256
0,-1,0.25,2.7488935718910685,0.0,1.0165068
0,-1,0.25,2.7488935718910685,0.20000000000000007,1.0150008
0,-1,0.25,2.7488935718910685,0.4,1.0118054
0,-1,0.25,2.7488935718910685,0.6,1.0087738
0,-1,0.25,2.7488935718910685,0.7999999999999999,1.0066683
0,-1,0.25,2.7488935718910685,1.0,1.005227
0,-1,0.25,3.010692959690218,-1.0,0.9831838
0,-1,0.25,3.010692959690218,-0.8,1.003393
0,-1,0.25,3.010692959690218,-0.6000000000000001,1.0131593
0,-1,0.25,3.010692959690218,-0.4,1.0152953
0,-1,0.25,3.010692959690218,-0.20000000000000007,1.015225
0,-1,0.25,3.010692959690218,0.0,1.0148927
0,-1,0.25,3.010692959690218,0.20000000000000007,1.0131761
0,-1,0.25,3.010692959690218,0.4,1.0100574
0,-1,0.25,3.010692959690218,0.6,1.0072993
0,-1,0.25,3.010692959690218,0.7999999999999999,1.0054897
0,-1,0.25,3.010692959690218,1.0,1.004301
0,-1,0.35,-3.0106929596902186,-1.0,0.9756101
0,-1,0.35,-3.0106929596902186,-0.8,0.9975579
0,-1,0.35,-3.0106929596902186,-0.6000000000000001,1.0102607
0,-1,0.35,-3.0106929596902186,-0.4,1.013635
0,-1,0.35,-3.0106929596902186,-0.20000000000000007,1.0133961
0,-1,0.35,-3.0106929596902186,0.0,1.0121921
0,-1,0.35,-3.0106929596902186,0.20000000000000007,1.0102569
0,-1,0.35,-3.0106929596902186,0.4,1.0076879
0,-1,0.35,-3.0106929596902186,0.6,1.0056325
0,-1,0.35,-3.0106929596902186,0.7999999999999999,1.0044323
0,-1,0.35,-3.0106929596902186,1.0,1.0037454
0,-1,0.35,-2.748893571891069,-1.0,0.9770934
0,-1,0.35,-2.748893571891069,-0.8,0.9983423
0,-1,0.35,-2.748893571891069,-0.6000000000000001,1.0103282
0,-1,0.35,-2.748893571891069,-0.4,1.0129557
0,-1,0.35,-2.748893571891069,-0.20000000000000007,1.0120083
0,-1,0.35,-2.748893571891069,0.0,1.0103431
0,-1,0.35,-2.748893571891069,0.20000000000000007,1.0083188
0,-1,0.35,-2.748893571891069,0.4,1.0060536
0,-1,0.35,-2.748893571891069,0.6,1.0044756
0,-1,0.35,-2.748893571891069,0.7999999999999999,1.0036849
0,-1,0.35,-2.748893571891069,1.0,1.0032753
0,-1,0.35,-2.4870941840919194,-1.0,0.9793079
0,-1,0.35,-2.4870941840919194,-0.8,0.9993136
0,-1,0.35,-2.4870941840919194,-0.6000000000000001,1.0105197
0,-1,0.35,-2.4870941840919194,-0.4,1.0124491
0,-1,0.35,-2.4870941840919194,-0.20000000000000007,1.0108643
0,-1,0.35,-2.4870941840919194,0.0,1.0087832
0,-1,0.35,-2.4870941840919194,0.20000000000000007,1.0067267
0,-1,0.35,-2.4870941840919194,0.4,1.0048037
0,-1,0.35,-2.4870941840919194,0.6,1.0036602
0,-1,0.35,-2.4870941840919194,0.7999999999999999,1.0031756
0,-1,0.35,-2.4870941840919194,1.0,1.0029346
