success,side,trial_id,random_seed,elapsed_seconds,hidden_width,hidden_layers,dropout_probability,batch_size,learning_rate,weight_decay,identity_penalty,smoothness_penalty,odd_component_penalty,maximum_even_log_scale,maximum_odd_log_scale,maximum_total_log_scale,maximum_epochs,patience,score,validation_nll,mean_before,mean_after,width_before,width_after,width_ratio,boundary_fraction,best_epoch
True,0,30,12375,24.831470012664795,32,1,0.05,256,0.0003,0.001,50.0,100.0,30.0,0.01,0.02,0.03,300,35,-2.9022552512601734,-2.9398772414640244,0.49878358840942383,0.49776148796081543,0.011812799610197544,0.011485876515507698,0.9723246727720983,0.0,21
True,0,31,12376,41.782410621643066,32,2,0.1,512,0.002,0.001,20.0,300.0,10.0,0.015,0.015,0.04,300,35,-2.9713785584538166,-2.978720822152401,0.49878358840942383,0.4975816309452057,0.011812799610197544,0.011256767436861992,0.9529296871458354,0.0,61
True,0,32,12377,11.6843900680542,24,3,0.0,256,0.0003,0.0002,20.0,300.0,10.0,0.02,0.02,0.03,300,35,-2.9175305854869467,-2.9270191833568133,0.49878358840942383,0.4976489543914795,0.011812799610197544,0.011488878168165684,0.9725787744886292,0.0,5
True,0,33,12378,80.85144329071045,8,2,0.05,512,0.0003,0.0002,100.0,300.0,30.0,0.01,0.01,0.04,300,35,-2.9239999560257166,-2.9420492710014488,0.49878358840942383,0.49768319725990295,0.011812799610197544,0.011488622985780239,0.9725571722949186,0.0,93
True,0,34,12379,58.01368570327759,24,3,0.0,128,0.0003,0.0002,50.0,100.0,30.0,0.02,0.01,0.03,300,35,-2.914032287396051,-2.973994801662947,0.49878358840942383,0.4974606931209564,0.011812799610197544,0.011300208978354931,0.9566071846846439,0.02238579450599484,19
True,0,35,12380,37.60792803764343,8,3,0.05,256,0.0003,0.0002,50.0,100.0,2.0,0.01,0.015,0.03,300,35,-2.937840230200507,-2.9406903607585146,0.49878358840942383,0.49762240052223206,0.011812799610197544,0.01145126298069954,0.9693945007595063,0.0,46
True,1,0,112345,8.622529029846191,8,2,0.0,256,0.001,0.0002,20.0,100.0,30.0,0.02,0.01,0.03,300,35,-2.9344614517875733,-2.9375270822235233,0.49848681688308716,0.4975987374782562,0.011781815439462662,0.011556548066437244,0.9808800796292484,0.0,3
True,1,1,112346,11.501121759414673,24,2,0.0,256,0.001,0.005,50.0,100.0,30.0,0.015,0.015,0.04,300,35,-2.947887520588544,-2.9764192355047796,0.49848681688308716,0.4974968731403351,0.011781815439462662,0.01132849883288145,0.9615240444980281,0.0,15
True,1,2,112347,26.93026375770569,16,1,0.0,256,0.002,0.0002,100.0,100.0,30.0,0.01,0.01,0.04,300,35,-2.971490327874714,-2.971598077813685,0.49848681688308716,0.49761056900024414,0.011781815439462662,0.011406425386667252,0.9681381825471431,0.0,71
True,1,3,112348,23.755614280700684,8,3,0.1,512,0.002,0.001,20.0,300.0,10.0,0.02,0.015,0.03,300,35,-2.9181254076869148,-2.937902690401765,0.49848681688308716,0.4975318908691406,0.011781815439462662,0.01151732262223959,0.9775507587449414,0.0,6
True,1,4,112349,25.573630571365356,32,3,0.1,256,0.002,0.0002,100.0,20.0,30.0,0.01,0.01,0.03,300,35,-2.9780179355972796,-2.978118234955654,0.49848681688308716,0.49761059880256653,0.011781815439462662,0.011326991952955723,0.96139614570913,0.0,45
True,1,5,112350,13.407418012619019,24,2,0.05,128,0.0003,0.005,20.0,300.0,10.0,0.015,0.02,0.04,300,35,-2.934469470236655,-2.9412007863262914,0.49848681688308716,0.4975840747356415,0.011781815439462662,0.011499055661261082,0.9760003218812536,0.0,5
True,1,6,112351,24.546942472457886,32,2,0.0,128,0.001,0.005,100.0,300.0,2.0,0.01,0.01,0.04,300,35,-2.975174021045272,-2.975699003497671,0.49848681688308716,0.49760890007019043,0.011781815439462662,0.011365366168320179,0.9646532172157778,0.0,34
True,1,7,112352,15.91918396949768,8,3,0.1,128,0.002,0.0002,100.0,20.0,10.0,0.01,0.02,0.03,300,35,-2.968549190268465,-2.972799134770612,0.49848681688308716,0.4976132810115814,0.011781815439462662,0.011369655840098858,0.9650173098126038,0.0036796916067986683,11
True,1,8,112353,30.49548625946045,32,1,0.05,512,0.0003,0.001,20.0,20.0,2.0,0.01,0.015,0.03,300,35,-2.944876194661034,-2.945506052201158,0.49848681688308716,0.4976135194301605,0.011781815439462662,0.011510130949318409,0.9769403542654167,0.0,20
True,1,9,112354,14.64667558670044,32,2,0.05,512,0.002,0.0002,50.0,300.0,30.0,0.015,0.02,0.04,300,35,-2.955590868032588,-2.9776629295712906,0.49848681688308716,0.4975227117538452,0.011781815439462662,0.01130969263613224,0.9599278391554948,0.0,10
